spec	x	y	age	loc_id
Dihoplus_schleiermacheri	-0.04	40.88	9.2500	a31
Dihoplus_schleiermacheri	1.09	41.78	9.2500	a33
Dihoplus_schleiermacheri	1.08	41.78	9.2500	a34
Dihoplus_schleiermacheri	-0.75	43.33	9.2500	a3593
Dihoplus_schleiermacheri	1.12	41.79	9.2500	a36
Dihoplus_schleiermacheri	2.45	44.64	9.2500	a37
Dihoplus_schleiermacheri	4.59	45.36	9.2500	a3800
Iranotherium_morgani	101.82	35.74	9.2500	a3253
Stephanorhinus_pikermiensis	49.61	40.90	9.2500	a88
Subchilotherium_intermedium	92.11	29.14	9.2500	a3812
Dinocrocuta_gigantea	101.82	35.74	9.2500	a3253
Dinocrocuta_gigantea	109.11	38.83	9.2500	a3254
Dinocrocuta_gigantea	92.11	29.14	9.2500	a3812
Dinocrocuta_gigantea	100.34	34.61	9.2500	a71
Dinocrocuta_gigantea	109.11	38.83	9.2500	a72
Dinocrocuta_gigantea	49.61	40.90	9.2500	a88
Schizochoerus_vallesiensis	1.09	41.78	9.2500	a33
Schizochoerus_vallesiensis	1.09	41.78	9.2500	a35
Eomellivora_wimani	29.02	47.28	9.2500	a38
Melodon_majori	101.82	35.74	9.2500	a3253
Plesiogulo_brachygnathus	27.88	47.63	9.2500	a4445
Plesiogulo_brachygnathus	109.11	38.83	9.2500	a72
Plesiogulo_crassa	76.90	43.41	9.2500	a3234
Plesiomeles_cajali	1.09	41.78	9.2500	a33
Promephitis_hootoni	101.82	35.74	9.2500	a3253
Promephitis_maeotica	29.02	47.28	9.2500	a38
Promephitis_parvus	101.82	35.74	9.2500	a3253
Micromeryx_flourensianus	-1.89	40.87	9.2500	a29
Micromeryx_flourensianus	1.09	41.78	9.2500	a33
Micromeryx_flourensianus	1.09	41.78	9.2500	a35
Micromeryx_flourensianus	1.12	41.79	9.2500	a36
Adcrocuta_eximia	-1.98	40.61	9.2500	a27
Adcrocuta_eximia	22.57	40.61	9.2500	a296
Adcrocuta_eximia	22.57	40.61	9.2500	a297
Adcrocuta_eximia	22.62	40.61	9.2500	a298
Adcrocuta_eximia	49.15	40.97	9.2500	a299
Adcrocuta_eximia	-2.04	40.87	9.2500	a30
Adcrocuta_eximia	29.21	47.75	9.2500	a300
Adcrocuta_eximia	30.71	48.71	9.2500	a301
Adcrocuta_eximia	-0.04	40.88	9.2500	a31
Adcrocuta_eximia	1.09	41.78	9.2500	a33
Adcrocuta_eximia	29.02	47.28	9.2500	a38
Hyaenictitherium_hyaenoides	29.21	47.75	9.2500	a300
Hyaenictitherium_hyaenoides	101.82	35.74	9.2500	a3253
Hyaenictitherium_parvum	29.21	47.75	9.2500	a300
Hyaenictitherium_wongii	100.34	34.61	9.2500	a71
Hyaenictitherium_wongii	109.11	38.83	9.2500	a72
Ictitherium_viverrinum	2.45	44.64	9.2500	a37
Ictitherium_viverrinum	29.02	47.28	9.2500	a38
Lycyaena_chaeretis	-1.89	40.87	9.2500	a29
Thalassictis_hipparionum	49.15	40.97	9.2500	a299
Thalassictis_robusta	1.09	41.78	9.2500	a33
Tetralophodon_exoletus	101.82	35.74	9.2500	a3253
Tetralophodon_longirostris	27.42	40.77	9.2500	a28
Tetralophodon_longirostris	-1.89	40.87	9.2500	a29
Tetralophodon_longirostris	1.09	41.78	9.2500	a33
Tetralophodon_longirostris	1.09	41.78	9.2500	a35
Tetralophodon_longirostris	-0.75	43.33	9.2500	a3593
Tetralophodon_longirostris	1.12	41.79	9.2500	a36
Tetralophodon_longirostris	29.02	47.28	9.2500	a38
Tetralophodon_longirostris	27.88	47.63	9.2500	a4445
Tetralophodon_longirostris	-2.00	40.49	9.2500	a7197
Tetralophodon_longirostris	49.61	40.90	9.2500	a88
Bohlinia_attica	22.57	40.61	9.2500	a296
Decennatherium_macedoniae	22.57	40.61	9.2500	a296
Decennatherium_pachecoi	-1.98	40.61	9.2500	a27
Decennatherium_pachecoi	-2.04	40.87	9.2500	a30
Decennatherium_pachecoi	-0.04	40.88	9.2500	a31
Helladotherium_duvernoyi	25.36	39.91	9.2500	a1183
Honanotherium_schlosseri	101.82	35.74	9.2500	a3253
Palaeotragus_coelophrys	22.57	40.61	9.2500	a296
Palaeotragus_coelophrys	32.66	47.24	9.2500	a4444
Palaeotragus_coelophrys	49.61	40.90	9.2500	a88
Palaeotragus_germaini	35.80	1.25	9.2500	a3592
Palaeotragus_microdon	101.82	35.74	9.2500	a3253
Palaeotragus_moldavicus	27.56	47.84	9.2500	a3594
Palaeotragus_pavlowae	29.02	47.28	9.2500	a38
Samotherium_boissieri	25.36	39.91	9.2500	a1183
Amphimachairodus_giganteus	1.12	41.79	9.2500	a36
Machairodus_aphanistus	2.45	44.64	9.2500	a37
Machairodus_aphanistus	4.59	45.36	9.2500	a3800
Machairodus_palanderi	101.82	35.74	9.2500	a3253
Metailurus_parvulus	2.45	44.64	9.2500	a37
Paramachairodus_ogygia	-4.66	40.37	9.2500	a5308
Paramachairodus_orientalis	1.12	41.79	9.2500	a36
Cremohipparion_matthewi	25.36	39.91	9.2500	a1183
Cremohipparion_mediterraneum	1.12	41.79	9.2500	a36
Hipparion_catalaunicum	1.09	41.78	9.2500	a35
Hipparion_chiai	101.82	35.74	9.2500	a3253
Hipparion_chiai	109.11	38.83	9.2500	a72
Hipparion_melendezi	-5.01	42.19	9.2500	a4647
Hipparion_weihoense	101.82	35.74	9.2500	a3253
Hippotherium_giganteum	27.56	47.84	9.2500	a3594
Hippotherium_giganteum	29.02	47.28	9.2500	a38
Hippotherium_giganteum	27.88	47.63	9.2500	a4445
Hippotherium_primigenium	-1.98	40.61	9.2500	a27
Hippotherium_primigenium	27.42	40.77	9.2500	a28
Hippotherium_primigenium	-1.89	40.87	9.2500	a29
Hippotherium_primigenium	22.57	40.61	9.2500	a296
Hippotherium_primigenium	-2.04	40.87	9.2500	a30
Hippotherium_primigenium	29.21	47.75	9.2500	a300
Hippotherium_primigenium	-0.04	40.88	9.2500	a31
Hippotherium_primigenium	76.90	43.41	9.2500	a3234
Hippotherium_primigenium	15.40	48.13	9.2500	a3595
Hippotherium_primigenium	24.78	34.63	9.2500	a4752
Hippotherium_primigenium	-1.88	40.27	9.2500	a4753
Hippotherium_primigenium	27.40	40.57	9.2500	a4754
Deinotherium_giganteum	27.42	40.77	9.2500	a28
Deinotherium_giganteum	49.15	40.97	9.2500	a299
Deinotherium_giganteum	1.09	41.78	9.2500	a33
Deinotherium_giganteum	35.80	1.25	9.2500	a3592
Deinotherium_giganteum	-0.75	43.33	9.2500	a3593
Deinotherium_giganteum	27.56	47.84	9.2500	a3594
Deinotherium_giganteum	15.40	48.13	9.2500	a3595
Deinotherium_giganteum	1.12	41.79	9.2500	a36
Deinotherium_giganteum	2.45	44.64	9.2500	a37
Deinotherium_giganteum	29.02	47.28	9.2500	a38
Deinotherium_giganteum	49.61	40.90	9.2500	a88
Ancylotherium_pentelicum	25.36	39.91	9.2500	a1183
Chalicotherium_grande	1.09	41.78	9.2500	a33
Chalicotherium_grande	1.09	41.78	9.2500	a35
Chalicotherium_grande	1.12	41.79	9.2500	a36
Cervavitus_variabilis	29.02	47.28	9.2500	a38
Euprox_minimus	1.09	41.78	9.2500	a33
Euprox_minimus	1.12	41.79	9.2500	a36
Procapreolus_ukrainicus	30.71	48.71	9.2500	a301
Aragoral_mudejar	-1.89	40.87	9.2500	a29
Austroportax_latifrons	1.12	41.79	9.2500	a36
Gazella_deperdita	25.36	39.91	9.2500	a1183
Gazella_deperdita	1.09	41.78	9.2500	a33
Gazella_deperdita	27.56	47.84	9.2500	a3594
Gazella_gaudryi	101.82	35.74	9.2500	a3253
Gazella_gaudryi	109.11	38.83	9.2500	a72
Gazella_schlosseri	30.71	48.71	9.2500	a301
Gazella_schlosseri	27.56	47.84	9.2500	a3594
Gazella_schlosseri	29.02	47.28	9.2500	a38
Gazella_schlosseri	32.66	47.24	9.2500	a4444
Gazella_schlosseri	27.88	47.63	9.2500	a4445
Mesembriacerus_melentisi	22.57	40.61	9.2500	a296
Mesembriacerus_melentisi	22.57	40.61	9.2500	a297
Miotragocerus_pannoniae	1.09	41.78	9.2500	a33
Ouzocerus_gracilis	22.57	40.61	9.2500	a297
Palaeoreas_lindermayeri	25.36	39.91	9.2500	a1183
Prostrepsiceros_houtumschindleri	29.02	47.28	9.2500	a38
Prostrepsiceros_vallesiensis	22.57	40.61	9.2500	a296
Protragelaphus_skouzesi	29.02	47.28	9.2500	a38
Tragoportax_amalthea	25.36	39.91	9.2500	a1183
Tragoportax_frolovi	30.71	48.71	9.2500	a301
Tragoportax_frolovi	76.90	43.41	9.2500	a3234
