"spec" "x" "y" "age" "loc_id" "optional"
"214" "Honanotherium_schlosseri" 101.82 35.74 9.25 "a3253" TRUE
"215" "Palaeotragus_coelophrys" 22.57 40.61 9.25 "a296" TRUE
"216" "Palaeotragus_coelophrys" 32.66 47.24 9.25 "a4444" TRUE
"219" "Palaeotragus_microdon" 101.82 35.74 9.25 "a3253" TRUE
"220" "Palaeotragus_moldavicus" 27.56 47.84 9.25 "a3594" TRUE
"221" "Palaeotragus_pavlowae" 29.02 47.28 9.25 "a38" TRUE
"223" "Amphimachairodus_giganteus" 1.12 41.79 9.25 "a36" TRUE
"224" "Machairodus_aphanistus" 2.45 44.64 9.25 "a37" TRUE
"225" "Machairodus_aphanistus" 4.59 45.36 9.25 "a3800" TRUE
"226" "Machairodus_palanderi" 101.82 35.74 9.25 "a3253" TRUE
"227" "Metailurus_parvulus" 2.45 44.64 9.25 "a37" TRUE
"228" "Paramachairodus_ogygia" -4.66 40.37 9.25 "a5308" TRUE
"229" "Paramachairodus_orientalis" 1.12 41.79 9.25 "a36" TRUE
"231" "Cremohipparion_mediterraneum" 1.12 41.79 9.25 "a36" TRUE
"232" "Hipparion_catalaunicum" 1.09 41.78 9.25 "a35" TRUE
"233" "Hipparion_chiai" 101.82 35.74 9.25 "a3253" TRUE
"234" "Hipparion_chiai" 109.11 38.83 9.25 "a72" TRUE
"235" "Hipparion_melendezi" -5.01 42.19 9.25 "a4647" TRUE
"236" "Hipparion_weihoense" 101.82 35.74 9.25 "a3253" TRUE
"237" "Hippotherium_giganteum" 27.56 47.84 9.25 "a3594" TRUE
"238" "Hippotherium_giganteum" 29.02 47.28 9.25 "a38" TRUE
"239" "Hippotherium_giganteum" 27.88 47.63 9.25 "a4445" TRUE
"240" "Hippotherium_primigenium" -1.98 40.61 9.25 "a27" TRUE
"242" "Hippotherium_primigenium" -1.89 40.87 9.25 "a29" TRUE
"243" "Hippotherium_primigenium" 22.57 40.61 9.25 "a296" TRUE
"244" "Hippotherium_primigenium" -2.04 40.87 9.25 "a30" TRUE
"245" "Hippotherium_primigenium" 29.21 47.75 9.25 "a300" TRUE
"246" "Hippotherium_primigenium" -0.04 40.88 9.25 "a31" TRUE
"247" "Hippotherium_primigenium" 76.9 43.41 9.25 "a3234" TRUE
"248" "Hippotherium_primigenium" 15.4 48.13 9.25 "a3595" TRUE
"250" "Hippotherium_primigenium" -1.88 40.27 9.25 "a4753" TRUE
"253" "Deinotherium_giganteum" 49.15 40.97 9.25 "a299" TRUE
"254" "Deinotherium_giganteum" 1.09 41.78 9.25 "a33" TRUE
"256" "Deinotherium_giganteum" -0.75 43.33 9.25 "a3593" TRUE
"257" "Deinotherium_giganteum" 27.56 47.84 9.25 "a3594" TRUE
