"spec" "x" "y" "age" "loc_id" "optional"
"953" "Austroportax_latifrons" -0.38 41.42 10.35 "a45" TRUE
"954" "Austroportax_latifrons" 1.22 41.78 10.35 "a48" TRUE
"956" "Miotragocerus_monacensis" -0.38 41.42 10.35 "a1546" TRUE
"957" "Miotragocerus_monacensis" 10.45 48.4 10.35 "a826" TRUE
"958" "Miotragocerus_pannoniae" 15.81 48.86 10.35 "a3655" TRUE
"959" "Miotragocerus_pannoniae" 15.6 48.93 10.35 "a3657" TRUE
"960" "Miotragocerus_pannoniae" -0.18 41.42 10.35 "a44" TRUE
"961" "Miotragocerus_pannoniae" -0.38 41.42 10.35 "a45" TRUE
"962" "Miotragocerus_pannoniae" 1.19 41.76 10.35 "a47" TRUE
"963" "Miotragocerus_pannoniae" 1.12 41.9 10.35 "a4759" TRUE
"964" "Miotragocerus_pannoniae" 1.12 41.9 10.35 "a4760" TRUE
"965" "Miotragocerus_pannoniae" 16.12 47.8 10.35 "a4761" TRUE
"966" "Miotragocerus_pannoniae" 1.22 41.78 10.35 "a48" TRUE
"967" "Miotragocerus_pannoniae" 28.44 46.94 10.35 "a52" TRUE
"968" "Miotragocerus_pannoniae" 27.36 46.95 10.35 "a53" TRUE
"969" "Miotragocerus_pannoniae" 28 47.39 10.35 "a55" TRUE
"970" "Miotragocerus_pannoniae" 6.27 47.7 10.35 "a56" TRUE
"971" "Miotragocerus_pannoniae" 16.1 47.77 10.35 "a57" TRUE
"972" "Miotragocerus_pannoniae" 7.76 47.98 10.35 "a58" TRUE
"973" "Miotragocerus_pannoniae" 8 50 10.35 "a61" TRUE
"974" "Moldoredunca_amalthea" 28.1 47.6 10.35 "a92" TRUE
"975" "Protoryx_solignaci" 28.98 38.45 10.35 "a2947" TRUE
"976" "Protragocerus_chantrei" -0.38 41.42 10.35 "a1546" TRUE
"977" "Protragocerus_chantrei" -0.76 40.62 10.35 "a3213" TRUE
"978" "Protragocerus_chantrei" -0.17 47.52 10.35 "a3313" TRUE
"979" "Protragocerus_chantrei" 15.16 48.88 10.35 "a3656" TRUE
"980" "Protragocerus_chantrei" -0.38 41.42 10.35 "a45" TRUE
"981" "Protragocerus_chantrei" 1.22 41.78 10.35 "a48" TRUE
"982" "Tragoportax_gaudryi" 16.1 47.77 10.35 "a57" TRUE
"983" "Amphicyon_major" -5.09 41.19 10.35 "a43" TRUE
"984" "Amphicyon_major" -0.18 41.42 10.35 "a44" TRUE
"985" "Amphicyon_major" 1.19 41.76 10.35 "a47" TRUE
"986" "Amphicyon_major" 8 50 10.35 "a61" TRUE
"987" "Amphicyon_major" -1.27 47.42 10.35 "a996" TRUE
"988" "Magericyon_anceps" -5.09 41.19 10.35 "a43" TRUE
"989" "Magericyon_castellanus" -5.09 41.19 10.35 "a43" TRUE
"1048" "Dorcatherium_naui" 43.65 42.38 10.65 "a3896" TRUE
"1049" "Hippotherium_primigenium" 43.65 42.38 10.65 "a3896" TRUE
"1106" "Alicornops_simorrensis" -2.24 41.32 10.96 "a828" TRUE
"1107" "Tetralophodon_longirostris" -2.24 41.32 10.96 "a828" TRUE
"1108" "Decennatherium_pachecoi" -2.24 41.32 10.96 "a828" TRUE
"1109" "Deinotherium_giganteum" -2.24 41.32 10.96 "a828" TRUE
